2025-05-01 10:05|sp25-bds-01|issue|B0001|2025-05-15|-|0

2025-05-10 14:20|sp25-bds-02|issue|B0003|2025-05-24|-|0

2025-05-12 11:30|sp25-bds-03|issue|B0005|2025-05-26|-|0

2025-05-15 09:45|sp25-bds-01|return|B0001|2025-05-15|2025-05-15|0

2025-05-16 16:05|sp25-bds-02|return|B0003|2025-05-24|2025-05-16|0

2025-05-18 13:10|sp25-bds-04|issue|B0002|2025-06-01|-|0

2025-05-20 12:25|sp25-bds-05|issue|B0007|2025-06-03|-|0

2025-05-25 10:00|sp25-bds-06|issue|B0005|2025-06-08|-|0

2025-05-27 15:45|sp25-bds-03|return|B0005|2025-05-26|2025-05-27|10

2025-05-30 09:15|sp25-bds-07|issue|B0008|2025-06-13|-|0

2025-06-01 11:50|sp25-bds-08|issue|B0012|2025-06-15|-|0

2025-06-03 09:15|sp25-bds-09|issue|B0004|2025-06-17|-|0

2025-06-05 14:45|sp25-bds-10|issue|B0010|2025-06-19|-|0

2025-06-07 10:20|sp25-bds-04|return|B0002|2025-06-01|2025-06-07|60

2025-06-10 08:05|sp25-bds-11|issue|B0013|2025-06-24|-|0

2025-06-12 09:30|sp25-bds-02|issue|B0011|2025-06-26|-|0

2025-06-14 16:50|sp25-bds-07|return|B0008|2025-06-13|2025-06-14|10

2025-06-15 13:00|sp25-bds-06|return|B0005|2025-06-08|2025-06-15|70

2025-06-16 11:10|sp25-bds-12|issue|B0009|2025-06-30|-|0

2025-06-17 10:05|sp25-bds-09|return|B0004|2025-06-17|2025-06-17|0

2025-06-18 14:55|sp25-bds-05|return|B0007|2025-06-03|2025-06-18|150

2025-06-20 09:40|sp25-bds-13|issue|B0014|2025-07-04|-|0

2025-06-22 12:15|sp25-bds-14|issue|B0015|2025-07-06|-|0

2025-06-24 15:30|sp25-bds-15|issue|B0016|2025-07-08|-|0

2025-06-25 17:00|sp25-bds-02|return|B0011|2025-06-26|2025-06-25|0

2025-05-30 17:43|sp25-bds-02|issue|B0001|2025-06-10|-|0

